msg_id,original_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,content
74795a18fe96b5cb,"""
Dude, you keep vandalizing it by adding spelling errors. contribsTALK """,0,0,0,0,0,0,"Mec, tu continues à le vandaliser en ajoutant des fautes d'orthographe."
d42e86cbdec5bd87,"shut the fuck up u big dumb bitch ass pussy. i fucked yo wife nigga, done.",1,1,1,0,1,1,"ferme ta putain de gueule, espèce de grande conne. J'ai baisé ta femme, sale nègre, c'est fini."
a056d6e5e9475bc2,JD IS A RAGING HOMOSEXUAL FAGGOT WHO SHOULD BE EATEN ALIVE BY A PACK OF RABID BABOONS.,1,0,1,1,1,1,JD EST UN PETIT P*DÉ EN COLÈRE QUI DEVRAIT ÊTRE MANGÉ VIVANT PAR UNE MEUTE DE BABOUINS ENRAGÉS.
5f38031eb97e7a27,"the earth is 6000 years old, don't be stupid",1,0,0,0,1,0,"la Terre a 6000 ans, ne sois pas idiot"
669b4154433e1608,Why did you remove the information about the two christmas eve ballgames? That is a unique fact.,0,0,0,0,0,0,Pourquoi as-tu enlevé l'information sur les deux matchs de Noël ? C'est un fait unique.
2a0b17666b5a0b1b,"Hey, you fascist swine, you're gonna get raped in the ass. Nice job being Jimbo's bitch, you pathetic piece of shit.",1,0,1,1,1,0,"Hé, espèce de porc fasciste, tu vas te faire baiser dans le cul. Beau travail d'être la putain de Jimbo, espèce de morceau de merde pathétique."
9f7678c1c4c57190,", check my edition again please. And tell me what is the problem now. Thanks.",0,0,0,0,0,0,Vérifie encore une fois mon édition s'il te plaît. Et dis-moi quel est le problème maintenant. Merci.
27aafc4eb33071b0,"That's all bullshit, and you know it.",1,0,1,0,0,0,"C'est que de la merde, et tu le sais très bien."
cb5ea79340429d15,"FOR FUCK'S SAKE 

KILL THE FUCKING SHITHEAD ALREADY!",1,0,1,1,1,0,"Pour l'amour de Dieu, tue ce putain de débile déjà !"
9070d8e2e4e2577b,"Yeah, all you have to do is stop being such a bitch.",1,0,1,0,1,0,"Ouais, il te suffit d'arrêter d'être une pétasse."
